Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Texas,TX,48313,Madison County,"Madison County, Texas",0.279,3588,2314
Indiana,IN,18141,St. Joseph County,"St. Joseph County, Indiana",0.279,101201,2315
Kansas,KS,20085,Jackson County,"Jackson County, Kansas",0.279,5385,2316
Ohio,OH,39165,Warren County,"Warren County, Ohio",0.278,75875,2317
Kentucky,KY,21089,Greenup County,"Greenup County, Kentucky",0.277,14421,2318
South Carolina,SC,45085,Sumter County,"Sumter County, South Carolina",0.277,39347,2319
Maryland,MD,24045,Wicomico County,"Wicomico County, Maryland",0.277,36518,2320
Pennsylvania,PA,42133,York County,"York County, Pennsylvania",0.277,168128,2321
Indiana,IN,18005,Bartholomew County,"Bartholomew County, Indiana",0.276,30075,2322
Oregon,OR,41031,Jefferson County,"Jefferson County, Oregon",0.275,8005,2323
Kentucky,KY,21117,Kenton County,"Kenton County, Kentucky",0.275,62260,2324
Vermont,VT,50007,Chittenden County,"Chittenden County, Vermont",0.275,62267,2325
Kansas,KS,20105,Lincoln County,"Lincoln County, Kansas",0.274,1459,2326
Georgia,GA,13267,Tattnall County,"Tattnall County, Georgia",0.274,8028,2327
Tennessee,TN,47111,Macon County,"Macon County, Tennessee",0.273,8422,2328
Tennessee,TN,47151,Scott County,"Scott County, Tennessee",0.273,8439,2329
Indiana,IN,18085,Kosciusko County,"Kosciusko County, Indiana",0.272,30113,2330
New Jersey,NJ,34011,Cumberland County,"Cumberland County, New Jersey",0.272,50733,2331
Idaho,ID,16051,Jefferson County,"Jefferson County, Idaho",0.272,8091,2332
Alabama,AL,1077,Lauderdale County,"Lauderdale County, Alabama",0.272,38301,2333
North Dakota,ND,38041,Hettinger County,"Hettinger County, North Dakota",0.271,1106,2334
Missouri,MO,29099,Jefferson County,"Jefferson County, Missouri",0.271,81159,2335
Virginia,VA,51121,Montgomery County,"Montgomery County, Virginia",0.271,34739,2336
Alabama,AL,1073,Jefferson County,"Jefferson County, Alabama",0.270,259255,2337
Rhode Island,RI,44009,Washington County,"Washington County, Rhode Island",0.270,49348,2338
Minnesota,MN,27025,Chisago County,"Chisago County, Minnesota",0.269,19669,2339
Pennsylvania,PA,42019,Butler County,"Butler County, Pennsylvania",0.269,72867,2340
Utah,UT,49045,Tooele County,"Tooele County, Utah",0.269,18218,2341
Florida,FL,12019,Clay County,"Clay County, Florida",0.268,67570,2342
North Dakota,ND,38009,Bottineau County,"Bottineau County, North Dakota",0.268,2990,2343
Indiana,IN,18183,Whitley County,"Whitley County, Indiana",0.267,13086,2344
Wisconsin,WI,55089,Ozaukee County,"Ozaukee County, Wisconsin",0.267,34093,2345
Pennsylvania,PA,42111,Somerset County,"Somerset County, Pennsylvania",0.267,29992,2346
Virginia,VA,51161,Roanoke County,"Roanoke County, Virginia",0.267,37876,2347
Illinois,IL,17191,Wayne County,"Wayne County, Illinois",0.267,7126,2348
Minnesota,MN,27019,Carver County,"Carver County, Minnesota",0.267,33017,2349
Michigan,MI,26125,Oakland County,"Oakland County, Michigan",0.266,482978,2350
Texas,TX,48073,Cherokee County,"Cherokee County, Texas",0.266,17273,2351
North Carolina,NC,37161,Rutherford County,"Rutherford County, North Carolina",0.266,27412,2352
Massachusetts,MA,25001,Barnstable County,"Barnstable County, Massachusetts",0.266,95520,2353
Minnesota,MN,27051,Grant County,"Grant County, Minnesota",0.266,2636,2354
Virginia,VA,51041,Chesterfield County,"Chesterfield County, Virginia",0.265,113090,2355
Georgia,GA,13197,Marion County,"Marion County, Georgia",0.264,3025,2356
North Carolina,NC,37087,Haywood County,"Haywood County, North Carolina",0.264,26469,2357
Wisconsin,WI,55097,Portage County,"Portage County, Wisconsin",0.264,27982,2358
Indiana,IN,18127,Porter County,"Porter County, Indiana",0.264,61312,2359
Illinois,IL,17083,Jersey County,"Jersey County, Illinois",0.263,8736,2360
Illinois,IL,17027,Clinton County,"Clinton County, Illinois",0.263,14058,2361
Michigan,MI,26027,Cass County,"Cass County, Michigan",0.263,19801,2362
Illinois,IL,17181,Union County,"Union County, Illinois",0.262,6858,2363
Indiana,IN,18111,Newton County,"Newton County, Indiana",0.262,5338,2364
Pennsylvania,PA,42059,Greene County,"Greene County, Pennsylvania",0.262,14119,2365
North Carolina,NC,37139,Pasquotank County,"Pasquotank County, North Carolina",0.262,14508,2366
Michigan,MI,26075,Jackson County,"Jackson County, Michigan",0.262,59949,2367
Illinois,IL,17119,Madison County,"Madison County, Illinois",0.262,106933,2368
Ohio,OH,39089,Licking County,"Licking County, Ohio",0.262,63781,2369
Minnesota,MN,27143,Sibley County,"Sibley County, Minnesota",0.262,6111,2370
Alabama,AL,1109,Pike County,"Pike County, Alabama",0.262,12987,2371
Illinois,IL,17187,Warren County,"Warren County, Illinois",0.262,6882,2372
Minnesota,MN,27167,Wilkin County,"Wilkin County, Minnesota",0.261,2679,2373
Louisiana,LA,22099,St. Martin Parish,"St. Martin Parish, Louisiana",0.261,18761,2374
Florida,FL,12003,Baker County,"Baker County, Florida",0.261,8424,2375
Mississippi,MS,28073,Lamar County,"Lamar County, Mississippi",0.261,21473,2376
Florida,FL,12081,Manatee County,"Manatee County, Florida",0.261,131172,2377
Alabama,AL,1103,Morgan County,"Morgan County, Alabama",0.261,46058,2378
Ohio,OH,39155,Trumbull County,"Trumbull County, Ohio",0.260,86760,2379
Iowa,IA,19061,Dubuque County,"Dubuque County, Iowa",0.260,37323,2380
California,CA,6089,Shasta County,"Shasta County, California",0.260,68880,2381
Kansas,KS,20015,Butler County,"Butler County, Kansas",0.260,24276,2382
Louisiana,LA,22051,Jefferson Parish,"Jefferson Parish, Louisiana",0.259,166480,2383
Wisconsin,WI,55087,Outagamie County,"Outagamie County, Wisconsin",0.259,69396,2384
Mississippi,MS,28075,Lauderdale County,"Lauderdale County, Mississippi",0.259,29715,2385
Oklahoma,OK,40053,Grant County,"Grant County, Oklahoma",0.259,1934,2386
Arkansas,AR,5131,Sebastian County,"Sebastian County, Arkansas",0.258,48777,2387
Florida,FL,12105,Polk County,"Polk County, Florida",0.258,222081,2388
Illinois,IL,17007,Boone County,"Boone County, Illinois",0.258,17864,2389
Indiana,IN,18169,Wabash County,"Wabash County, Indiana",0.257,12817,2390
South Carolina,SC,45063,Lexington County,"Lexington County, South Carolina",0.257,103377,2391
Florida,FL,12065,Jefferson County,"Jefferson County, Florida",0.257,5444,2392
Michigan,MI,26063,Huron County,"Huron County, Michigan",0.257,14012,2393
Oklahoma,OK,40017,Canadian County,"Canadian County, Oklahoma",0.257,41657,2394
West Virginia,WV,54023,Grant County,"Grant County, West Virginia",0.257,4673,2395
Washington,WA,53063,Spokane County,"Spokane County, Washington",0.257,187397,2396
Oklahoma,OK,40151,Woods County,"Woods County, Oklahoma",0.257,3507,2397
Tennessee,TN,47051,Franklin County,"Franklin County, Tennessee",0.256,16000,2398
Utah,UT,49053,Washington County,"Washington County, Utah",0.256,46526,2399
Illinois,IL,17091,Kankakee County,"Kankakee County, Illinois",0.256,41068,2400
North Carolina,NC,37109,Lincoln County,"Lincoln County, North Carolina",0.255,29801,2401
Minnesota,MN,27155,Traverse County,"Traverse County, Minnesota",0.255,1569,2402
South Dakota,SD,46013,Brown County,"Brown County, South Dakota",0.254,15325,2403
Georgia,GA,13125,Glascock County,"Glascock County, Georgia",0.254,1182,2404
Tennessee,TN,47041,DeKalb County,"DeKalb County, Tennessee",0.253,7102,2405
Wisconsin,WI,55125,Vilas County,"Vilas County, Wisconsin",0.253,10668,2406
Illinois,IL,17015,Carroll County,"Carroll County, Illinois",0.252,6739,2407
Montana,MT,30107,Wheatland County,"Wheatland County, Montana",0.252,795,2408
Oregon,OR,41043,Linn County,"Linn County, Oregon",0.251,44566,2409
Kentucky,KY,21021,Boyle County,"Boyle County, Kentucky",0.251,11143,2410
North Dakota,ND,38015,Burleigh County,"Burleigh County, North Dakota",0.251,33907,2411
Tennessee,TN,47089,Jefferson County,"Jefferson County, Tennessee",0.250,19573,2412
Idaho,ID,16013,Blaine County,"Blaine County, Idaho",0.250,9210,2413
Colorado,CO,8001,Adams County,"Adams County, Colorado",0.249,151034,2414
Iowa,IA,19025,Calhoun County,"Calhoun County, Iowa",0.249,4420,2415
Texas,TX,48289,Leon County,"Leon County, Texas",0.249,6434,2416
Ohio,OH,39003,Allen County,"Allen County, Ohio",0.249,40622,2417
Louisiana,LA,22039,Evangeline Parish,"Evangeline Parish, Louisiana",0.249,12066,2418
Pennsylvania,PA,42045,Delaware County,"Delaware County, Pennsylvania",0.249,206021,2419
Indiana,IN,18053,Grant County,"Grant County, Indiana",0.248,26968,2420
Wisconsin,WI,55029,Door County,"Door County, Wisconsin",0.248,13695,2421
Ohio,OH,39157,Tuscarawas County,"Tuscarawas County, Ohio",0.248,36298,2422
Michigan,MI,26037,Clinton County,"Clinton County, Michigan",0.248,28642,2423
North Dakota,ND,38089,Stark County,"Stark County, North Dakota",0.248,10087,2424
Florida,FL,12115,Sarasota County,"Sarasota County, Florida",0.248,169520,2425
Florida,FL,12027,DeSoto County,"DeSoto County, Florida",0.247,10508,2426
New Jersey,NJ,34041,Warren County,"Warren County, New Jersey",0.247,41638,2427
North Carolina,NC,37131,Northampton County,"Northampton County, North Carolina",0.247,8490,2428
Georgia,GA,13251,Screven County,"Screven County, Georgia",0.247,4861,2429
Idaho,ID,16001,Ada County,"Ada County, Idaho",0.247,149884,2430
Ohio,OH,39085,Lake County,"Lake County, Ohio",0.247,94389,2431
Mississippi,MS,28149,Warren County,"Warren County, Mississippi",0.246,18702,2432
Virginia,VA,51137,Orange County,"Orange County, Virginia",0.246,12617,2433
Florida,FL,12083,Marion County,"Marion County, Florida",0.246,134733,2434
North Dakota,ND,38017,Cass County,"Cass County, North Dakota",0.246,64724,2435
Illinois,IL,17157,Randolph County,"Randolph County, Illinois",0.245,11820,2436
Pennsylvania,PA,42097,Northumberland County,"Northumberland County, Pennsylvania",0.245,39220,2437
Virginia,VA,51065,Fluvanna County,"Fluvanna County, Virginia",0.244,9419,2438
Wisconsin,WI,55115,Shawano County,"Shawano County, Wisconsin",0.244,17219,2439
Arkansas,AR,5011,Bradley County,"Bradley County, Arkansas",0.244,4920,2440
Ohio,OH,39013,Belmont County,"Belmont County, Ohio",0.244,28716,2441
Illinois,IL,17195,Whiteside County,"Whiteside County, Illinois",0.244,23390,2442
New Jersey,NJ,34015,Gloucester County,"Gloucester County, New Jersey",0.243,104091,2443
Louisiana,LA,22073,Ouachita Parish,"Ouachita Parish, Louisiana",0.243,57239,2444
Connecticut,CT,9007,Middlesex County,"Middlesex County, Connecticut",0.243,66728,2445
Kansas,KS,20173,Sedgwick County,"Sedgwick County, Kansas",0.243,192806,2446
Maryland,MD,24031,Montgomery County,"Montgomery County, Maryland",0.242,357579,2447
Minnesota,MN,27037,Dakota County,"Dakota County, Minnesota",0.242,153160,2448
Minnesota,MN,27113,Pennington County,"Pennington County, Minnesota",0.242,5783,2449
Maryland,MD,24033,Prince George's County,"Prince George's County, Maryland",0.242,302683,2450
Louisiana,LA,22121,West Baton Rouge Parish,"West Baton Rouge Parish, Louisiana",0.241,8700,2451
New York,NY,36001,Albany County,"Albany County, New York",0.241,122674,2452
North Carolina,NC,37145,Person County,"Person County, North Carolina",0.241,15376,2453
South Dakota,SD,46043,Douglas County,"Douglas County, South Dakota",0.241,1247,2454
Wisconsin,WI,55001,Adams County,"Adams County, Wisconsin",0.240,8733,2455
Kansas,KS,20169,Saline County,"Saline County, Kansas",0.240,22091,2456
Arkansas,AR,5023,Cleburne County,"Cleburne County, Arkansas",0.240,10431,2457
Kentucky,KY,21015,Boone County,"Boone County, Kentucky",0.239,42617,2458
Wisconsin,WI,55063,La Crosse County,"La Crosse County, Wisconsin",0.239,46058,2459
Nebraska,NE,31045,Dawes County,"Dawes County, Nebraska",0.239,3772,2460
Ohio,OH,39051,Fulton County,"Fulton County, Ohio",0.238,16358,2461
North Carolina,NC,37199,Yancey County,"Yancey County, North Carolina",0.238,7142,2462
Virginia,VA,51003,Albemarle County,"Albemarle County, Virginia",0.237,37549,2463
Mississippi,MS,28019,Choctaw County,"Choctaw County, Mississippi",0.237,3377,2464
Indiana,IN,18163,Vanderburgh County,"Vanderburgh County, Indiana",0.237,74301,2465
Missouri,MO,29139,Montgomery County,"Montgomery County, Missouri",0.237,5072,2466
Georgia,GA,13321,Worth County,"Worth County, Georgia",0.236,8039,2467
Mississippi,MS,28057,Itawamba County,"Itawamba County, Mississippi",0.236,8897,2468
Florida,FL,12085,Martin County,"Martin County, Florida",0.235,59562,2469
South Carolina,SC,45025,Chesterfield County,"Chesterfield County, South Carolina",0.235,17453,2470
Iowa,IA,19049,Dallas County,"Dallas County, Iowa",0.235,25561,2471
Florida,FL,12075,Levy County,"Levy County, Florida",0.234,15804,2472
Iowa,IA,19065,Fayette County,"Fayette County, Iowa",0.234,8546,2473
Nebraska,NE,31055,Douglas County,"Douglas County, Nebraska",0.233,202215,2474
Kansas,KS,20109,Logan County,"Logan County, Kansas",0.233,1286,2475
Mississippi,MS,28013,Calhoun County,"Calhoun County, Mississippi",0.233,6005,2476
Iowa,IA,19155,Pottawattamie County,"Pottawattamie County, Iowa",0.233,36472,2477
Nebraska,NE,31131,Otoe County,"Otoe County, Nebraska",0.233,6439,2478
North Carolina,NC,37135,Orange County,"Orange County, North Carolina",0.233,51163,2479
Louisiana,LA,22067,Morehouse Parish,"Morehouse Parish, Louisiana",0.232,10344,2480
West Virginia,WV,54081,Raleigh County,"Raleigh County, West Virginia",0.232,31500,2481
New York,NY,36065,Oneida County,"Oneida County, New York",0.232,91500,2482
Michigan,MI,26015,Barry County,"Barry County, Michigan",0.232,22455,2483
North Dakota,ND,38019,Cavalier County,"Cavalier County, North Dakota",0.231,1729,2484
North Dakota,ND,38093,Stutsman County,"Stutsman County, North Dakota",0.231,8652,2485
Minnesota,MN,27039,Dodge County,"Dodge County, Minnesota",0.231,7358,2486
Indiana,IN,18023,Clinton County,"Clinton County, Indiana",0.231,11689,2487
Indiana,IN,18165,Vermillion County,"Vermillion County, Indiana",0.230,6520,2488
Ohio,OH,39077,Huron County,"Huron County, Ohio",0.229,22673,2489
Iowa,IA,19169,Story County,"Story County, Iowa",0.229,34883,2490
Iowa,IA,19071,Fremont County,"Fremont County, Iowa",0.229,3053,2491
Colorado,CO,8029,Delta County,"Delta County, Colorado",0.229,12661,2492
Michigan,MI,26047,Emmet County,"Emmet County, Michigan",0.229,13541,2493
Kentucky,KY,21061,Edmonson County,"Edmonson County, Kentucky",0.228,4819,2494
Texas,TX,48243,Jeff Davis County,"Jeff Davis County, Texas",0.228,879,2495
Mississippi,MS,28133,Sunflower County,"Sunflower County, Mississippi",0.227,8369,2496
Oregon,OR,41071,Yamhill County,"Yamhill County, Oregon",0.227,33920,2497
Georgia,GA,13045,Carroll County,"Carroll County, Georgia",0.226,39404,2498
Illinois,IL,17111,McHenry County,"McHenry County, Illinois",0.226,108950,2499
Ohio,OH,39135,Preble County,"Preble County, Ohio",0.226,16396,2500
Arkansas,AR,5115,Pope County,"Pope County, Arkansas",0.226,22604,2501
Washington,WA,53075,Whitman County,"Whitman County, Washington",0.225,16424,2502
Alabama,AL,1125,Tuscaloosa County,"Tuscaloosa County, Alabama",0.225,67919,2503
Missouri,MO,29213,Taney County,"Taney County, Missouri",0.225,20426,2504
Wisconsin,WI,55009,Brown County,"Brown County, Wisconsin",0.225,98171,2505
Georgia,GA,13257,Stephens County,"Stephens County, Georgia",0.225,9346,2506
Virginia,VA,51810,Virginia Beach city,"Virginia Beach city, Virginia",0.225,164226,2507
North Carolina,NC,37061,Duplin County,"Duplin County, North Carolina",0.225,21825,2508
Missouri,MO,29087,Holt County,"Holt County, Missouri",0.224,2233,2509
Illinois,IL,17193,White County,"White County, Illinois",0.224,6257,2510
Colorado,CO,8005,Arapahoe County,"Arapahoe County, Colorado",0.223,223747,2511
Michigan,MI,26065,Ingham County,"Ingham County, Michigan",0.223,108445,2512
Alabama,AL,1087,Macon County,"Macon County, Alabama",0.222,8094,2513
Kansas,KS,20037,Crawford County,"Crawford County, Kansas",0.222,15294,2514
Texas,TX,48165,Gaines County,"Gaines County, Texas",0.222,5402,2515
Michigan,MI,26113,Missaukee County,"Missaukee County, Michigan",0.222,5855,2516
Mississippi,MS,28119,Quitman County,"Quitman County, Mississippi",0.222,3155,2517
Texas,TX,48417,Shackelford County,"Shackelford County, Texas",0.222,1354,2518
West Virginia,WV,54069,Ohio County,"Ohio County, West Virginia",0.222,18508,2519
West Virginia,WV,54095,Tyler County,"Tyler County, West Virginia",0.220,3635,2520
Minnesota,MN,27095,Mille Lacs County,"Mille Lacs County, Minnesota",0.220,10457,2521
Montana,MT,30043,Jefferson County,"Jefferson County, Montana",0.220,4549,2522
New York,NY,36021,Columbia County,"Columbia County, New York",0.220,25476,2523
South Dakota,SD,46025,Clark County,"Clark County, South Dakota",0.219,1368,2524
Kentucky,KY,21191,Pendleton County,"Pendleton County, Kentucky",0.219,5477,2525
Alabama,AL,1117,Shelby County,"Shelby County, Alabama",0.219,73624,2526
West Virginia,WV,54085,Ritchie County,"Ritchie County, West Virginia",0.218,4120,2527
Texas,TX,48471,Walker County,"Walker County, Texas",0.218,20151,2528
Tennessee,TN,47063,Hamblen County,"Hamblen County, Tennessee",0.218,24292,2529
Minnesota,MN,27047,Freeborn County,"Freeborn County, Minnesota",0.218,13297,2530
Vermont,VT,50003,Bennington County,"Bennington County, Vermont",0.218,15610,2531
Tennessee,TN,47009,Blount County,"Blount County, Tennessee",0.218,48695,2532
Kansas,KS,20041,Dickinson County,"Dickinson County, Kansas",0.218,7813,2533
Alabama,AL,1067,Henry County,"Henry County, Alabama",0.217,6905,2534
Idaho,ID,16055,Kootenai County,"Kootenai County, Idaho",0.217,55351,2535
Michigan,MI,26123,Newaygo County,"Newaygo County, Michigan",0.216,18478,2536
New Jersey,NJ,34033,Salem County,"Salem County, New Jersey",0.216,24950,2537
Ohio,OH,39107,Mercer County,"Mercer County, Ohio",0.216,15715,2538
Alabama,AL,1015,Calhoun County,"Calhoun County, Alabama",0.216,45764,2539
North Carolina,NC,37151,Randolph County,"Randolph County, North Carolina",0.216,55032,2540
Iowa,IA,19015,Boone County,"Boone County, Iowa",0.216,10648,2541
Illinois,IL,17163,St. Clair County,"St. Clair County, Illinois",0.216,102936,2542
Oregon,OR,41047,Marion County,"Marion County, Oregon",0.215,113227,2543
North Carolina,NC,37113,Macon County,"Macon County, North Carolina",0.215,15843,2544
Virginia,VA,51095,James City County,"James City County, Virginia",0.214,26579,2545
Missouri,MO,29021,Buchanan County,"Buchanan County, Missouri",0.214,33582,2546
Iowa,IA,19097,Jackson County,"Jackson County, Iowa",0.214,8414,2547
Nebraska,NE,31095,Jefferson County,"Jefferson County, Nebraska",0.214,3276,2548
Mississippi,MS,28097,Montgomery County,"Montgomery County, Mississippi",0.213,4216,2549
Kentucky,KY,21239,Woodford County,"Woodford County, Kentucky",0.213,9847,2550
Indiana,IN,18135,Randolph County,"Randolph County, Indiana",0.213,10324,2551
Nebraska,NE,31111,Lincoln County,"Lincoln County, Nebraska",0.213,15028,2552
Oklahoma,OK,40061,Haskell County,"Haskell County, Oklahoma",0.213,4703,2553
South Dakota,SD,46049,Faulk County,"Faulk County, South Dakota",0.213,941,2554
Oklahoma,OK,40033,Cotton County,"Cotton County, Oklahoma",0.212,2355,2555
Michigan,MI,26147,St. Clair County,"St. Clair County, Michigan",0.212,64083,2556
Illinois,IL,17099,La Salle County,"La Salle County, Illinois",0.212,44709,2557
North Carolina,NC,37167,Stanly County,"Stanly County, North Carolina",0.212,23154,2558
Tennessee,TN,47053,Gibson County,"Gibson County, Tennessee",0.212,19379,2559
South Carolina,SC,45015,Berkeley County,"Berkeley County, South Carolina",0.211,63390,2560
Texas,TX,48371,Pecos County,"Pecos County, Texas",0.211,4745,2561
Virginia,VA,51071,Giles County,"Giles County, Virginia",0.210,7126,2562
Pennsylvania,PA,42021,Cambria County,"Cambria County, Pennsylvania",0.210,58502,2563
Kentucky,KY,21211,Shelby County,"Shelby County, Kentucky",0.210,15246,2564
North Dakota,ND,38067,Pembina County,"Pembina County, North Dakota",0.210,3341,2565
Nebraska,NE,31155,Saunders County,"Saunders County, Nebraska",0.209,8149,2566
Alabama,AL,1079,Lawrence County,"Lawrence County, Alabama",0.208,13441,2567
Colorado,CO,8105,Rio Grande County,"Rio Grande County, Colorado",0.207,4344,2568
Texas,TX,48163,Frio County,"Frio County, Texas",0.207,4831,2569
Tennessee,TN,47123,Monroe County,"Monroe County, Tennessee",0.207,17409,2570
Minnesota,MN,27069,Kittson County,"Kittson County, Minnesota",0.207,1935,2571
Florida,FL,12123,Taylor County,"Taylor County, Florida",0.207,7748,2572
Nebraska,NE,31109,Lancaster County,"Lancaster County, Nebraska",0.206,113724,2573
Illinois,IL,17085,Jo Daviess County,"Jo Daviess County, Illinois",0.206,9731,2574
West Virginia,WV,54065,Morgan County,"Morgan County, West Virginia",0.205,7306,2575
Idaho,ID,16005,Bannock County,"Bannock County, Idaho",0.205,30206,2576
Missouri,MO,29186,Ste. Genevieve County,"Ste. Genevieve County, Missouri",0.205,7315,2577
California,CA,6061,Placer County,"Placer County, California",0.205,131775,2578
Tennessee,TN,47179,Washington County,"Washington County, Tennessee",0.205,51260,2579
Kentucky,KY,21019,Boyd County,"Boyd County, Kentucky",0.204,19608,2580
North Dakota,ND,38045,LaMoure County,"LaMoure County, North Dakota",0.203,1966,2581
South Dakota,SD,46059,Hand County,"Hand County, South Dakota",0.203,1475,2582
Indiana,IN,18065,Henry County,"Henry County, Indiana",0.203,18741,2583
Texas,TX,48207,Haskell County,"Haskell County, Texas",0.202,2480,2584
Texas,TX,48389,Reeves County,"Reeves County, Texas",0.201,3474,2585
Tennessee,TN,47167,Tipton County,"Tipton County, Tennessee",0.201,21383,2586
Missouri,MO,29043,Christian County,"Christian County, Missouri",0.201,29360,2587
Virginia,VA,51775,Salem city,"Salem city, Virginia",0.201,9953,2588
Kansas,KS,20027,Clay County,"Clay County, Kansas",0.201,3488,2589
Colorado,CO,8087,Morgan County,"Morgan County, Colorado",0.200,10489,2590
Wyoming,WY,56001,Albany County,"Albany County, Wyoming",0.200,15021,2591
Virginia,VA,51031,Campbell County,"Campbell County, Virginia",0.199,21581,2592
South Carolina,SC,45065,McCormick County,"McCormick County, South Carolina",0.199,4016,2593
Oklahoma,OK,40059,Harper County,"Harper County, Oklahoma",0.199,1510,2594
North Dakota,ND,38013,Burke County,"Burke County, North Dakota",0.199,1007,2595
Pennsylvania,PA,42043,Dauphin County,"Dauphin County, Pennsylvania",0.198,107996,2596
Pennsylvania,PA,42081,Lycoming County,"Lycoming County, Pennsylvania",0.198,46476,2597
Iowa,IA,19157,Poweshiek County,"Poweshiek County, Iowa",0.198,7589,2598
Georgia,GA,13157,Jackson County,"Jackson County, Georgia",0.198,21250,2599
Iowa,IA,19075,Grundy County,"Grundy County, Iowa",0.198,5062,2600
Georgia,GA,13177,Lee County,"Lee County, Georgia",0.197,9625,2601
Iowa,IA,19055,Delaware County,"Delaware County, Iowa",0.197,7104,2602
Minnesota,MN,27027,Clay County,"Clay County, Minnesota",0.197,22357,2603
Wisconsin,WI,55141,Wood County,"Wood County, Wisconsin",0.197,32012,2604
Nebraska,NE,31083,Harlan County,"Harlan County, Nebraska",0.197,1525,2605
Georgia,GA,13073,Columbia County,"Columbia County, Georgia",0.196,43785,2606
Wisconsin,WI,55133,Waukesha County,"Waukesha County, Wisconsin",0.195,152995,2607
Illinois,IL,17073,Henry County,"Henry County, Illinois",0.195,20510,2608
Oklahoma,OK,40049,Garvin County,"Garvin County, Oklahoma",0.195,10268,2609
Iowa,IA,19189,Winnebago County,"Winnebago County, Iowa",0.194,4640,2610
Tennessee,TN,47143,Rhea County,"Rhea County, Tennessee",0.193,11891,2611
Nebraska,NE,31099,Kearney County,"Kearney County, Nebraska",0.193,2586,2612
Michigan,MI,26157,Tuscola County,"Tuscola County, Michigan",0.193,21243,2613
Texas,TX,48239,Jackson County,"Jackson County, Texas",0.193,5191,2614
South Carolina,SC,45023,Chester County,"Chester County, South Carolina",0.192,12472,2615
Illinois,IL,17197,Will County,"Will County, Illinois",0.191,222092,2616
Minnesota,MN,27123,Ramsey County,"Ramsey County, Minnesota",0.190,204787,2617
Illinois,IL,17093,Kendall County,"Kendall County, Illinois",0.190,37817,2618
New York,NY,36039,Greene County,"Greene County, New York",0.190,18411,2619
Mississippi,MS,28071,Lafayette County,"Lafayette County, Mississippi",0.190,15301,2620
South Dakota,SD,46101,Moody County,"Moody County, South Dakota",0.189,2644,2621
West Virginia,WV,54031,Hardy County,"Hardy County, West Virginia",0.189,4764,2622
Michigan,MI,26149,St. Joseph County,"St. Joseph County, Michigan",0.189,22258,2623
Minnesota,MN,27041,Douglas County,"Douglas County, Minnesota",0.188,15919,2624
Virginia,VA,51770,Roanoke city,"Roanoke city, Virginia",0.188,42644,2625
New York,NY,36041,Hamilton County,"Hamilton County, New York",0.187,2134,2626
Ohio,OH,39147,Seneca County,"Seneca County, Ohio",0.187,21891,2627
Tennessee,TN,47125,Montgomery County,"Montgomery County, Tennessee",0.187,63062,2628
Illinois,IL,17087,Johnson County,"Johnson County, Illinois",0.187,4279,2629
Michigan,MI,26159,Van Buren County,"Van Buren County, Michigan",0.187,28378,2630
Georgia,GA,13049,Charlton County,"Charlton County, Georgia",0.186,3755,2631
Indiana,IN,18171,Warren County,"Warren County, Indiana",0.185,3246,2632
Wisconsin,WI,55101,Racine County,"Racine County, Wisconsin",0.185,75775,2633
Missouri,MO,29115,Linn County,"Linn County, Missouri",0.185,4873,2634
Indiana,IN,18029,Dearborn County,"Dearborn County, Indiana",0.184,18455,2635
Idaho,ID,16027,Canyon County,"Canyon County, Idaho",0.184,63012,2636
Texas,TX,48305,Lynn County,"Lynn County, Texas",0.184,2173,2637
Tennessee,TN,47131,Obion County,"Obion County, Tennessee",0.184,12511,2638
Arkansas,AR,5109,Pike County,"Pike County, Arkansas",0.184,4353,2639
New York,NY,36093,Schenectady County,"Schenectady County, New York",0.184,58263,2640
Georgia,GA,13103,Effingham County,"Effingham County, Georgia",0.184,17979,2641
Pennsylvania,PA,42047,Elk County,"Elk County, Pennsylvania",0.183,13631,2642
Virginia,VA,51690,Martinsville city,"Martinsville city, Virginia",0.183,6005,2643
Virginia,VA,51087,Henrico County,"Henrico County, Virginia",0.183,123392,2644
Maryland,MD,24041,Talbot County,"Talbot County, Maryland",0.183,15856,2645
Iowa,IA,19017,Bremer County,"Bremer County, Iowa",0.183,9310,2646
Virginia,VA,51025,Brunswick County,"Brunswick County, Virginia",0.182,6029,2647
North Dakota,ND,38037,Grant County,"Grant County, North Dakota",0.182,1098,2648
Virginia,VA,51119,Middlesex County,"Middlesex County, Virginia",0.182,4393,2649
Georgia,GA,13225,Peach County,"Peach County, Georgia",0.181,9394,2650
Kansas,KS,20051,Ellis County,"Ellis County, Kansas",0.179,11738,2651
Ohio,OH,39095,Lucas County,"Lucas County, Ohio",0.179,178615,2652
Michigan,MI,26105,Mason County,"Mason County, Michigan",0.178,12336,2653
Minnesota,MN,27131,Rice County,"Rice County, Minnesota",0.178,22432,2654
Indiana,IN,18105,Monroe County,"Monroe County, Indiana",0.178,53894,2655
North Carolina,NC,37179,Union County,"Union County, North Carolina",0.178,67520,2656
Illinois,IL,17043,DuPage County,"DuPage County, Illinois",0.177,335532,2657
Illinois,IL,17167,Sangamon County,"Sangamon County, Illinois",0.177,82402,2658
South Dakota,SD,46081,Lawrence County,"Lawrence County, South Dakota",0.177,10743,2659
Wisconsin,WI,55105,Rock County,"Rock County, Wisconsin",0.176,63006,2660
West Virginia,WV,54097,Upshur County,"Upshur County, West Virginia",0.176,9084,2661
