Statename,State,FIPS,COUNTY,checker,plumbing,total,rank
Kentucky,KY,21109,Jackson County,"Jackson County, Kentucky",1.655,5739,271
Minnesota,MN,27021,Cass County,"Cass County, Minnesota",1.648,12926,272
Ohio,OH,39105,Meigs County,"Meigs County, Ohio",1.646,9598,273
Texas,TX,48067,Cass County,"Cass County, Texas",1.644,11739,274
Texas,TX,48059,Callahan County,"Callahan County, Texas",1.640,5182,275
Texas,TX,48225,Houston County,"Houston County, Texas",1.636,7883,276
Michigan,MI,26059,Hillsdale County,"Hillsdale County, Michigan",1.635,17557,277
Colorado,CO,8017,Cheyenne County,"Cheyenne County, Colorado",1.632,858,278
Nebraska,NE,31103,Keya Paha County,"Keya Paha County, Nebraska",1.626,369,279
Missouri,MO,29223,Wayne County,"Wayne County, Missouri",1.625,5660,280
Tennessee,TN,47135,Perry County,"Perry County, Tennessee",1.624,3263,281
Colorado,CO,8117,Summit County,"Summit County, Colorado",1.620,11358,282
Texas,TX,48337,Montague County,"Montague County, Texas",1.613,8058,283
Texas,TX,48437,Swisher County,"Swisher County, Texas",1.602,2622,284
Alabama,AL,1131,Wilcox County,"Wilcox County, Alabama",1.600,3624,285
Georgia,GA,13259,Stewart County,"Stewart County, Georgia",1.597,1941,286
South Dakota,SD,46137,Ziebach County,"Ziebach County, South Dakota",1.595,815,287
Texas,TX,48353,Nolan County,"Nolan County, Texas",1.594,5709,288
Colorado,CO,8111,San Juan County,"San Juan County, Colorado",1.587,378,289
Mississippi,MS,28155,Webster County,"Webster County, Mississippi",1.587,4032,289
Maine,ME,23017,Oxford County,"Oxford County, Maine",1.587,23124,291
Kentucky,KY,21053,Clinton County,"Clinton County, Kentucky",1.586,3908,292
Texas,TX,48425,Somervell County,"Somervell County, Texas",1.583,3221,293
Minnesota,MN,27153,Todd County,"Todd County, Minnesota",1.583,10109,294
Pennsylvania,PA,42109,Snyder County,"Snyder County, Pennsylvania",1.581,14355,295
Iowa,IA,19177,Van Buren County,"Van Buren County, Iowa",1.578,3041,296
Missouri,MO,29229,Wright County,"Wright County, Missouri",1.578,7415,297
Texas,TX,48247,Jim Hogg County,"Jim Hogg County, Texas",1.570,1784,298
Wisconsin,WI,55113,Sawyer County,"Sawyer County, Wisconsin",1.567,7720,299
Indiana,IN,18075,Jay County,"Jay County, Indiana",1.563,8188,300
Texas,TX,48411,San Saba County,"San Saba County, Texas",1.558,2054,301
Wisconsin,WI,55119,Taylor County,"Taylor County, Wisconsin",1.555,8810,302
Kentucky,KY,21171,Monroe County,"Monroe County, Kentucky",1.554,4441,303
Alabama,AL,1091,Marengo County,"Marengo County, Alabama",1.550,8580,304
Missouri,MO,29009,Barry County,"Barry County, Missouri",1.545,13656,305
Missouri,MO,29149,Oregon County,"Oregon County, Missouri",1.543,4538,306
New Mexico,NM,35043,Sandoval County,"Sandoval County, New Mexico",1.539,46795,307
Louisiana,LA,22117,Washington Parish,"Washington Parish, Louisiana",1.538,17420,308
Missouri,MO,29197,Schuyler County,"Schuyler County, Missouri",1.538,1756,309
West Virginia,WV,54035,Jackson County,"Jackson County, West Virginia",1.535,11399,310
Alaska,AK,2110,Juneau City and Borough,"Juneau City and Borough, Alaska",1.534,12323,311
Iowa,IA,19087,Henry County,"Henry County, Iowa",1.532,7574,312
North Carolina,NC,37073,Gates County,"Gates County, North Carolina",1.527,4454,313
Texas,TX,48135,Ector County,"Ector County, Texas",1.522,49065,314
Colorado,CO,8007,Archuleta County,"Archuleta County, Colorado",1.521,4536,315
Ohio,OH,39121,Noble County,"Noble County, Ohio",1.520,4804,316
Virginia,VA,51117,Mecklenburg County,"Mecklenburg County, Virginia",1.519,12642,317
Indiana,IN,18055,Greene County,"Greene County, Indiana",1.518,12912,318
Louisiana,LA,22007,Assumption Parish,"Assumption Parish, Louisiana",1.514,8654,319
Indiana,IN,18101,Martin County,"Martin County, Indiana",1.509,4108,320
Kansas,KS,20207,Woodson County,"Woodson County, Kansas",1.509,1524,321
Missouri,MO,29015,Benton County,"Benton County, Missouri",1.509,8085,322
Louisiana,LA,22027,Claiborne Parish,"Claiborne Parish, Louisiana",1.508,5635,323
Ohio,OH,39009,Athens County,"Athens County, Ohio",1.508,22221,324
Texas,TX,48023,Baylor County,"Baylor County, Texas",1.499,1735,325
Texas,TX,48449,Titus County,"Titus County, Texas",1.496,10631,326
Texas,TX,48237,Jack County,"Jack County, Texas",1.495,3010,327
Missouri,MO,29103,Knox County,"Knox County, Missouri",1.495,1806,327
Missouri,MO,29111,Lewis County,"Lewis County, Missouri",1.494,3882,329
Pennsylvania,PA,42095,Northampton County,"Northampton County, Pennsylvania",1.484,112242,330
North Carolina,NC,37041,Chowan County,"Chowan County, North Carolina",1.483,5867,331
Kansas,KS,20083,Hodgeman County,"Hodgeman County, Kansas",1.481,810,332
Texas,TX,48379,Rains County,"Rains County, Texas",1.480,4256,333
Montana,MT,30089,Sanders County,"Sanders County, Montana",1.480,5203,334
New York,NY,36009,Cattaraugus County,"Cattaraugus County, New York",1.474,32419,335
Kentucky,KY,21137,Lincoln County,"Lincoln County, Kentucky",1.474,9767,336
Alabama,AL,1099,Monroe County,"Monroe County, Alabama",1.470,8707,337
Texas,TX,48153,Floyd County,"Floyd County, Texas",1.463,2598,338
Arkansas,AR,5003,Ashley County,"Ashley County, Arkansas",1.459,8774,339
Louisiana,LA,22081,Red River Parish,"Red River Parish, Louisiana",1.457,3225,340
Georgia,GA,13143,Haralson County,"Haralson County, Georgia",1.456,10711,341
Arkansas,AR,5107,Phillips County,"Phillips County, Arkansas",1.456,8309,342
South Dakota,SD,46073,Jerauld County,"Jerauld County, South Dakota",1.453,895,343
Texas,TX,48161,Freestone County,"Freestone County, Texas",1.451,7028,344
Alabama,AL,1123,Tallapoosa County,"Tallapoosa County, Alabama",1.451,16339,345
Oklahoma,OK,40103,Noble County,"Noble County, Oklahoma",1.445,4636,346
Idaho,ID,16047,Gooding County,"Gooding County, Idaho",1.445,5536,347
Texas,TX,48483,Wheeler County,"Wheeler County, Texas",1.444,2354,348
Mississippi,MS,28123,Scott County,"Scott County, Mississippi",1.444,9765,349
Georgia,GA,13201,Miller County,"Miller County, Georgia",1.443,2494,350
Indiana,IN,18117,Orange County,"Orange County, Indiana",1.440,7637,351
Missouri,MO,29163,Pike County,"Pike County, Missouri",1.438,6606,352
Kentucky,KY,21167,Mercer County,"Mercer County, Kentucky",1.438,8486,353
